time_sec,Instrument_0_Bass,Instrument_1_Grand Piano,Instrument_2_909 Drum Kit,Instrument_3_Smooth Synth (Classic),Instrument_4_Electric Drum Kit,Instrument_5_Violin,Instrument_6_8-Bit Sawtooth,Instrument_7_Strings,Instrument_8_Violin (Classic),Instrument_9_Trombone (Classic)
0.0,51,,,,,,,,,
0.16853924999999997,65,,,,,,,,,
0.33707849999999995,,,,,,,,,,
0.50561775,51,,,,,,,,,
0.6741569999999999,67,,,,,,,,,
0.8426962499999999,,,,,,,,,,
1.0112355,51,,,,,,,,,
1.1797747499999998,65,,,,,,,,,
1.3483139999999998,,,,,,,,,,
1.5168532499999998,51,,,,,,,,,
1.6853924999999998,67,,,,,,,,,
1.8539317499999999,,,,,,,,,,
2.022471,51,,,,,,,,,
2.1910102499999997,65,,,,,,,,,
2.3595494999999995,70,,,,,,,,,
2.5280887499999998,67,,,,,,,,,
2.6966279999999996,51,,,,,,,,,
2.86516725,65,,,,,,,,,
3.0337064999999996,,,,,,,,,,
3.2022457499999994,51,,,,,,,,,
3.3707849999999997,67,,,,,,,,,
3.5393242499999995,,,,,,,,,,
3.7078634999999998,51,,,,,,,,,
3.8764027499999996,65,,,,,,,,,
4.044942,,,,,,,,,,
4.213481249999999,51,,,,,,,,,
4.382020499999999,67,,,,,,,,,
4.55055975,,,,,,,,,,
4.719098999999999,51,,,,,,,,,
4.887638249999999,65,,,,,,,,,
5.0561774999999995,70,,,,,,,,,
5.22471675,67,,,,,,,,,
5.393255999999999,51,,,,,,,,,
5.561795249999999,65,,,,,,,,,
5.7303345,,,,,,,,,,
5.898873749999999,51,,,,,,,,,
6.067412999999999,67,,,,,,,,,
6.2359522499999995,,,,,,,,,,
6.404491499999999,51,,,,,,,,,
6.573030749999999,65,,,,,,,,,
6.741569999999999,,,,,,,,,,
6.91010925,51,,,,,,,,,
7.078648499999999,67,,,,,,,,,
7.247187749999999,,,,,,,,,,
7.4157269999999995,51,,,,,,,,,
7.584266249999999,65,,,,,,,,,
7.752805499999999,70,,,,,,,,,
7.921344749999999,67,,,,,,,,,
8.089884,51,,,,,,,,,
8.25842325,65,,,,,,,,,
8.426962499999998,,,,,,,,,,
8.595501749999999,51,,,,,,,,,
8.764040999999999,67,,,,,,,,,
8.932580249999999,,,,,,,,,,
9.1011195,51,,,,,,,,,
9.26965875,65,,,,,,,,,
9.438197999999998,,,,,,,,,,
9.606737249999998,51,,,,,,,,,
9.775276499999999,67,,,,,,,,,
9.943815749999999,,,,,,,,,,
10.112354999999999,51,,,,,,,,,
10.28089425,65,,,,,,,,,
10.4494335,70,63,,,,,,,,
10.617972749999998,67,63,,,,,,,,
10.786511999999998,51,63,,,,,,,,
10.955051249999999,65,63,,,,,,,,
11.123590499999999,,,,,,,,,,
11.292129749999999,51,,,,,,,,,
11.460669,67,67,,,,,,,,
11.629208249999998,,67,,,,,,,,
11.797747499999998,51,,,,,,,,,
11.966286749999998,65,,,,,,,,,
12.134825999999999,,67,,,,,,,,
12.303365249999999,51,67,,,,,,,,
12.471904499999999,67,,,,,,,,,
12.64044375,,,,,,,,,,
12.808982999999998,51,63,,,,,,,,
12.977522249999998,65,63,,,,,,,,
13.146061499999998,70,63,,,,,,,,
13.314600749999999,67,63,,,,,,,,
13.483139999999999,51,63,,,,,,,,
13.651679249999999,65,63,,,,,,,,
13.8202185,,63,,,,,,,,
13.988757749999998,51,63,,,,,,,,
14.157296999999998,67,67,,,,,,,,
14.325836249999998,,67,,,,,,,,
14.494375499999999,51,,,,,,,,,
14.662914749999999,65,,,,,,,,,
14.831453999999999,,67,,,,,,,,
14.999993249999998,51,67,,,,,,,,
15.168532499999998,67,,,,,,,,,
15.337071749999998,,,,,,,,,,
15.505610999999998,51,,,,,,,,,
15.674150249999999,65,,,,,,,,,
15.842689499999999,70,65,,,,,,,,
16.011228749999997,67,65,,,,,,,,
16.179768,51,63,,,,,,,,
16.348307249999998,65,63,,,,,,,,
16.5168465,,63,,,,,,,,
16.68538575,51,63,,,,,,,,
16.853924999999997,67,67,,,,,,,,
17.02246425,,67,,,,,,,,
17.191003499999997,51,,,,,,,,,
17.35954275,65,,,,,,,,,
17.528081999999998,,67,,,,,,,,
17.69662125,51,67,,,,,,,,
17.865160499999998,67,,,,,,,,,
18.033699749999997,,,,,,,,,,
18.202239,51,65,,,,,,,,
18.370778249999997,65,65,,,,,,,,
18.5393175,70,63,,,,,,,,
18.707856749999998,67,63,,,,,,,,
18.876395999999996,51,63,,,,,,,,
19.044935249999998,65,63,,,,,,,,
19.213474499999997,,63,,,,,,,,
19.38201375,51,63,,,,,,,,
19.550552999999997,67,67,,,,,,,,
19.71909225,,67,,,,,,,,
19.887631499999998,51,,,,,,,,,
20.056170749999996,65,,,,,,,,,
20.224709999999998,,67,,,,,,,,
20.393249249999997,51,67,,,,,,,,
20.5617885,67,,,,,,,,,
20.730327749999997,,,,,,,,,,
20.898867,51,65,,,,,,,,
21.067406249999998,65,65,,,,,,,,
21.235945499999996,70,,,,,,,,,
21.404484749999998,67,,,,,,,,,
21.573023999999997,51,,,,,,,,,
21.74156325,65,,,,,,,,,
21.910102499999997,,75,,,,,,,,
22.07864175,51,75,,,,,,,,
22.247180999999998,67,75,,,,,,,,
22.415720249999996,,75,,,,,,,,
22.584259499999998,51,75,,,,,,,,
22.752798749999997,65,75,,,,,,,,
22.921338,,75,,,,,,,,
23.089877249999997,51,75,,,,,,,,
23.258416499999996,67,75,,,,,,,,
23.426955749999998,,75,,,,,,,,
23.595494999999996,51,74,,,,,,,,
23.764034249999998,65,74,,,,,,,,
23.932573499999997,70,74,,,,,,,,
24.10111275,67,74,,,,,,,,
24.269651999999997,51,,,,,,,,,
24.438191249999996,65,,,,,,,,,
24.606730499999998,,74,,,,,,,,
24.775269749999996,51,74,,,,,,,,
24.943808999999998,67,74,,,,,,,,
25.112348249999997,,74,,,,,,,,
25.2808875,51,74,,,,,,,,
25.449426749999997,65,74,,,,,,,,
25.617965999999996,,74,,,,,,,,
25.786505249999998,51,74,,,,,,,,
25.955044499999996,67,74,,,,,,,,
26.123583749999998,,74,,,,,,,,
26.292122999999997,51,77,,,,,,,,
26.46066225,65,77,,,,,,,,
26.629201499999997,70,77,,,,,,,,
26.797740749999996,67,77,,,,,,,,
26.966279999999998,51,77,,,,,,,,
27.134819249999996,65,77,,,,,,,,
27.303358499999998,,77,,,,,,,,
27.471897749999997,51,77,,,,,,,,
27.640437,67,75,,,,,,,,
27.808976249999997,,75,,,,,,,,
27.977515499999996,51,75,,,,,,,,
28.146054749999998,65,75,,,,,,,,
28.314593999999996,,75,,,,,,,,
28.483133249999998,51,75,,,,,,,,
28.651672499999997,67,75,,,,,,,,
28.820211749999995,,75,,,,,,,,
28.988750999999997,51,75,,,,,,,,
29.157290249999996,65,75,,,,,,,,
29.325829499999998,70,75,,,,,,,,
29.494368749999996,67,75,,,,,,,,
29.662907999999998,51,75,,,,,,,,
29.831447249999997,65,75,,,,,,,,
29.999986499999995,,75,,,,,,,,
30.168525749999997,51,75,,,,,,,,
30.337064999999996,67,75,,,,,,,,
30.505604249999998,,75,,,,,,,,
30.674143499999996,51,75,,,,,,,,
30.842682749999998,65,75,,,,,,,,
31.011221999999997,,75,,,,,,,,
31.179761249999995,51,75,,,,,,,,
31.348300499999997,67,75,,,,,,,,
31.516839749999995,,75,,,,,,,,
31.685378999999998,51,75,,,,,,,,
31.853918249999996,65,,,,,,,,,
32.022457499999994,70,63,,,,,,,,
32.19099675,67,63,,,,,,,,
32.359536,51,63,36,27,,,,,,
32.52807524999999,65,63,,,,,,,,
32.696614499999995,,,,,,,,,,
32.86515375,51,,,,,,,,,
33.033693,67,67,38,,34 34 78,,,,,
33.202232249999994,,67,,,,,,,,
33.3707715,51,,,,,,,,,
33.53931075,65,,36,27,,,,,,
33.70784999999999,,67,,,,,,,,
33.876389249999995,51,67,36,27,,,,,,
34.0449285,67,,36,27,,,,,,
34.21346775,,,,,,,,,,
34.382006999999994,51,63,38,39,71,,,,,
34.55054625,65,63,,,,,,,,
34.7190855,70,63,,,,,,,,
34.88762474999999,67,63,,,,,,,,
35.056163999999995,51,63,36,27,,,,,,
35.22470325,65,63,,,,,,,,
35.3932425,,63,,,,,,,,
35.561781749999994,51,63,,,,,,,,
35.730320999999996,67,67,38,,34 78,,,,,
35.89886025,,67,,,,,,,,
36.06739949999999,51,,,,,,,,,
36.235938749999995,65,,36,27,,,,,,
36.404478,,67,,,,,,,,
36.57301724999999,51,67,36,27,,,,,,
36.741556499999994,67,,36,27,,,,,,
36.910095749999996,,,,,,,,,,
37.078635,51,,38,39,71,,,,,
37.24717424999999,65,,,,,,,,,
37.415713499999995,70,65,,,,,,,,
37.58425275,67,65,,,,,,,,
37.75279199999999,51,63,36,27,,,,,,
37.921331249999994,65,63,,,,,,,,
38.089870499999996,,63,,,,,,,,
38.25840975,51,63,,,,,,,,
38.42694899999999,67,67,38,,34 34 78,,,,,
38.595488249999995,,67,,,,,,,,
38.7640275,51,,,,,,,,,
38.93256674999999,65,,36,27,,,,,,
39.101105999999994,,67,,,,,,,,
39.269645249999996,51,67,36,27,,,,,,
39.4381845,67,,36,27,,,,,,
39.60672374999999,,,,,,,,,,
39.775262999999995,51,65,38,39,71,,,,,
39.94380225,65,65,,,,,,,,
40.11234149999999,70,63,,,,,,,,
40.280880749999994,67,63,,,,,,,,
40.449419999999996,51,63,36,27,,,,,,
40.61795925,65,63,,,,,,,,
40.78649849999999,,63,,,,,,,,
40.955037749999995,51,63,,,,,,,,
41.123577,67,67,38,,34 78,,,,,
41.29211624999999,,67,,,,,,,,
41.460655499999994,51,,,,,,,,,
41.629194749999996,65,,36,27,,,,,,
41.797734,,67,,,,,,,,
41.96627324999999,51,67,36,27,,,,,,
42.134812499999995,67,,36,27,,,,,,
42.30335175,,,,,,,,,,
42.47189099999999,51,65,38,,71,,,,,
42.640430249999994,65,65,,,,,,,,
42.808969499999996,70,,,,,,,,,
42.97750875,67,,,,,,,,,
43.14604799999999,51,,36,27,,,,,,
43.314587249999995,65,,,,,,,,,
43.4831265,,75,,,,,,,,
43.65166574999999,51,75,,,,,,,,
43.820204999999994,67,75,38,,34 34 78,,,,,
43.988744249999996,,75,,,,,,,,
44.1572835,51,75,,,,,,,,
44.32582274999999,65,75,36,27,,,,,,
44.494361999999995,,75,,,,,,,,
44.66290125,51,75,36,27,,,,,,
44.83144049999999,67,75,36,27,,,,,,
44.999979749999994,,75,,,,,,,,
45.168518999999996,51,74,38,,71,,,,,
45.33705825,65,74,,,,,,,,
45.50559749999999,70,74,,,,,,,,
45.674136749999995,67,74,,,,,,,,
45.842676,51,,36,27,,,,,,
